"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"10","1003.9","1007.3","1005.4","2021/06/10 22:26:00","1002.0","2021/06/10 16:05:00","29.0","33.8","2021/06/10 11:46:00","25.4","2021/06/10 23:08:00","23.4","73","51","2021/06/10 11:31:00","1.6","190","8.0","140","2021/06/10 15:40:00","5.5","1.2","1.0","2021/06/10 22:40:00","3.5","2021/06/10 22:40:00","8.1","59.5","21.79","35.0","-4.2","9","2021/06/10 12:00:00","6.5"
"11","1004.5","1008.0","1007.0","2021/06/11 22:16:00","1003.0","2021/06/11 15:57:00","29.5","33.6","2021/06/11 10:55:00","25.0","2021/06/11 01:38:00","24.1","74","56","2021/06/11 11:17:00","1.3","130","7.0","310","2021/06/11 14:24:00","T","0.1","T","2021/06/11 00:01:00","T","2021/06/11 00:01:00","7.1","52.1","20.41","35.0","6.4","11","2021/06/11 11:00:00","7.3"
"12","1006.8","1010.2","1009.0","2021/06/12 22:54:00","1005.4","2021/06/12 16:31:00","29.9","34.6","2021/06/12 11:07:00","27.0","2021/06/12 23:54:00","24.4","73","50","2021/06/12 10:13:00","1.3","160","8.8","330","2021/06/12 13:33:00","T","0.2","T","2021/06/12 23:07:00","T","2021/06/12 23:07:00","6.4","46.9","19.02","42.5","-4.1","10","2021/06/12 11:00:00","7.0"
"13","1006.3","1009.7","1008.7","2021/06/13 07:58:00","1003.7","2021/06/13 17:21:00","29.7","33.6","2021/06/13 12:07:00","26.6","2021/06/13 00:11:00","24.7","75","60","2021/06/13 12:07:00","1.3","20","7.2","330","2021/06/13 15:09:00","T","0.1","T","2021/06/13 00:01:00","T","2021/06/13 00:01:00","4.1","30.1","14.89","40.0","3.3","9","2021/06/13 12:00:00","7.8"
"14","1002.3","1005.8","1005.1","2021/06/14 00:01:00","1000.0","2021/06/14 16:11:00","31.1","35.0","2021/06/14 12:01:00","27.1","2021/06/14 04:58:00","23.7","66","48","2021/06/14 12:02:00","2.2","280","10.6","270","2021/06/14 11:05:00","0.0","0.0","0.0","--","0.0","--","5.6","41.1","20.81","42.5","4.8","10","2021/06/14 12:00:00","6.0"
"15","999.9","1003.3","1001.2","2021/06/15 07:38:00","998.7","2021/06/15 16:30:00","31.6","34.2","2021/06/15 14:43:00","28.3","2021/06/15 05:01:00","23.8","64","55","2021/06/15 09:36:00","2.6","280","11.3","300","2021/06/15 14:39:00","0.0","0.0","0.0","--","0.0","--","8.4","61.6","21.38","32.5","5.4","8","2021/06/15 10:00:00","6.8"
"16","1001.0","1004.4","1002.7","2021/06/16 22:46:00","999.1","2021/06/16 02:13:00","32.3","35.9","2021/06/16 15:05:00","28.7","2021/06/16 05:10:00","22.6","58","45","2021/06/16 15:06:00","3.2","270","17.3","280","2021/06/16 11:44:00","0.0","0.0","0.0","--","0.0","--","10.4","76.2","26.26","47.5","7.6","12","2021/06/16 13:00:00","5.0"
"17","1002.4","1005.8","1003.8","2021/06/17 07:21:00","1001.0","2021/06/17 14:10:00","32.5","36.6","2021/06/17 13:56:00","28.0","2021/06/17 06:11:00","23.1","58","47","2021/06/17 14:22:00","2.7","280","12.5","290","2021/06/17 15:23:00","0.0","0.0","0.0","--","0.0","--","10.7","78.4","24.88","42.5","6.8","10","2021/06/17 12:00:00","5.5"
"18","1001.0","1004.3","1002.7","2021/06/18 00:03:00","998.8","2021/06/18 15:48:00","32.8","37.0","2021/06/18 14:54:00","29.4","2021/06/18 03:41:00","23.2","58","42","2021/06/18 12:26:00","2.9","260","14.0","270","2021/06/18 12:25:00","0.0","0.0","0.0","--","0.0","--","11.2","82.0","27.27","42.5","8.1","12","2021/06/18 12:00:00","5.3"
"19","998.9","1002.3","1000.9","2021/06/19 00:02:00","996.7","2021/06/19 16:26:00","32.9","36.8","2021/06/19 14:48:00","29.6","2021/06/19 05:12:00","22.9","56","43","2021/06/19 14:24:00","2.9","260","12.7","300","2021/06/19 13:29:00","0.0","0.0","0.0","--","0.0","--","10.8","79.1","26.66","42.5","7.7","11","2021/06/19 12:00:00","4.8"
"20","997.9","1001.3","999.1","2021/06/20 22:36:00","995.8","2021/06/20 16:45:00","32.1","36.3","2021/06/20 12:56:00","28.5","2021/06/20 05:38:00","23.3","60","46","2021/06/20 12:51:00","2.5","260","13.0","300","2021/06/20 11:47:00","0.0","0.0","0.0","--","0.0","--","5.4","39.6","20.50","37.5","5.4","10","2021/06/20 12:00:00","7.8"
"21","998.6","1002.0","1000.8","2021/06/21 22:01:00","997.4","2021/06/21 13:49:00","31.6","35.2","2021/06/21 09:58:00","28.8","2021/06/21 04:57:00","23.7","64","48","2021/06/21 10:01:00","2.8","300","13.8","280","2021/06/21 10:56:00","0.0","0.0","0.0","--","0.0","--","3.6","26.4","16.27","42.5","-5.2","7","2021/06/21 14:00:00","7.8"
"22","1001.3","1004.8","1004.1","2021/06/22 22:22:00","998.9","2021/06/22 01:56:00","27.3","30.6","2021/06/22 13:08:00","24.4","2021/06/22 20:03:00","24.9","87","71","2021/06/22 13:01:00","1.5","290","9.6","300","2021/06/22 13:34:00","52.0","6.2","8.5","2021/06/22 15:38:00","28.5","2021/06/22 14:54:00","0.0","0.0","5.03","13.5","-3.3","3","2021/06/22 14:00:00","10.0"
"23","1004.1","1007.6","1006.2","2021/06/23 20:57:00","1001.9","2021/06/23 03:36:00","25.3","28.3","2021/06/23 12:12:00","23.4","2021/06/23 20:50:00","23.6","90","78","2021/06/23 11:58:00","1.9","90","11.3","110","2021/06/23 14:29:00","13.5","9.4","2.5","2021/06/23 18:55:00","5.0","2021/06/23 18:19:00","0.0","0.0","6.98","17.0","-0.8","4","2021/06/23 11:00:00","9.8"
"24","1004.0","1007.4","1005.1","2021/06/24 00:01:00","1002.8","2021/06/24 16:49:00","26.3","29.5","2021/06/24 13:06:00","23.7","2021/06/24 02:39:00","23.7","86","69","2021/06/24 09:44:00","1.3","130","7.7","80","2021/06/24 11:13:00","6.0","4.4","2.0","2021/06/24 00:25:00","3.0","2021/06/24 00:16:00","1.2","8.8","10.84","19.5","-2.0","7","2021/06/24 10:00:00","9.8"
"25","1003.7","1007.2","1005.1","2021/06/25 22:23:00","1002.3","2021/06/25 16:12:00","26.8","29.6","2021/06/25 13:18:00","25.4","2021/06/25 22:41:00","24.3","87","74","2021/06/25 12:22:00","1.0","220","6.8","350","2021/06/25 14:00:00","15.5","5.4","2.5","2021/06/25 19:01:00","6.5","2021/06/25 18:49:00","0.2","1.5","7.49","17.8","-0.5","5","2021/06/25 13:00:00","9.8"
"26","1003.4","1006.8","1004.8","2021/06/26 08:47:00","1002.0","2021/06/26 16:14:00","29.2","34.0","2021/06/26 13:26:00","24.9","2021/06/26 04:15:00","24.1","76","53","2021/06/26 14:58:00","1.8","290","11.1","270","2021/06/26 15:05:00","0.0","0.0","0.0","--","0.0","--","6.7","49.1","21.27","31.3","5.6","9","2021/06/26 11:00:00","8.3"
"27","1001.7","1005.2","1003.8","2021/06/27 00:01:00","999.8","2021/06/27 16:03:00","30.6","35.2","2021/06/27 11:12:00","26.6","2021/06/27 05:16:00","23.5","67","48","2021/06/27 16:08:00","1.9","160","10.9","280","2021/06/27 09:32:00","0.0","0.0","0.0","--","0.0","--","9.9","72.6","24.67","47.5","5.9","11","2021/06/27 12:00:00","8.3"
"28","1000.2","1003.6","1001.2","2021/06/28 00:21:00","998.4","2021/06/28 15:38:00","30.6","34.6","2021/06/28 14:05:00","26.9","2021/06/28 04:14:00","22.7","64","44","2021/06/28 16:30:00","2.5","260","13.3","260","2021/06/28 10:30:00","0.0","0.0","0.0","--","0.0","--","1.9","13.9","17.00","47.5","6.8","8","2021/06/28 12:00:00","8.5"
"29","1000.8","1004.2","1002.0","2021/06/29 20:25:00","999.5","2021/06/29 15:36:00","31.5","35.8","2021/06/29 14:43:00","28.7","2021/06/29 00:47:00","22.6","60","45","2021/06/29 14:36:00","2.9","280","13.3","260","2021/06/29 15:23:00","T","0.1","T","2021/06/29 09:08:00","T","2021/06/29 09:08:00","1.5","11.0","16.33","42.5","-3.7","7","2021/06/29 13:00:00","8.8"
"30","1002.0","1005.5","1003.1","2021/06/30 22:25:00","1000.9","2021/06/30 15:59:00","31.1","34.7","2021/06/30 11:10:00","27.9","2021/06/30 05:18:00","24.0","66","53","2021/06/30 11:07:00","2.2","290","11.8","280","2021/06/30 12:35:00","0.0","0.0","0.0","--","0.0","--","6.1","44.8","21.00","33.8","6.9","9","2021/06/30 11:00:00","6.8"
