Sonde serial number                          	R3030575
Balloon release date and time                	2023-11-13T05:55:07
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
  77     2.1       336  987.8  13.7  94.3  12.8  58   9.3 288.5 25.012961 121.533816  9.47     554    250
  78     3.0       339  987.4  13.7  94.4  12.8  57   9.5 288.5 25.012910 121.533728  9.47     565    250
  79     2.9       341  987.1  13.7  94.4  12.8  57   9.6 288.5 25.012858 121.533650  9.46     574    250
  80     3.5       345  986.8  13.7  94.5  12.8  57   9.7 288.5 25.012809 121.533581  9.45     582    249
  81     2.1       347  986.5  13.6  94.7  12.8  57   9.9 288.4 25.012766 121.533516  9.45     590    249
  82     2.8       350  986.1  13.6  94.9  12.8  56  10.0 288.4 25.012726 121.533450  9.46     598    249
  83     2.5       352  985.8  13.6  95.1  12.8  56  10.1 288.4 25.012684 121.533378  9.47     607    249
  84     2.6       355  985.5  13.6  95.3  12.8  56  10.2 288.4 25.012640 121.533296  9.48     616    249
  85     2.9       358  985.2  13.5  95.3  12.8  56  10.4 288.4 25.012593 121.533206  9.48     626    249
  86     2.7       361  984.9  13.5  95.1  12.8  55  10.5 288.3 25.012544 121.533115  9.46     637    248
  87     2.4       363  984.5  13.5  94.8  12.7  55  10.6 288.3 25.012493 121.533029  9.43     647    248
  88     3.6       367  984.2  13.5  94.4  12.7  55  10.7 288.3 25.012441 121.532949  9.39     657    248
  89     2.7       369  983.9  13.5  94.2  12.6  55  10.8 288.3 25.012385 121.532872  9.36     666    248
  90     2.3       372  983.6  13.5  94.1  12.6  54  10.9 288.3 25.012324 121.532794  9.35     676    248
  91     2.5       374  983.2  13.5  94.0  12.5  54  10.9 288.3 25.012260 121.532708  9.34     687    247
  92     3.1       377  982.9  13.5  94.2  12.6  54  11.0 288.3 25.012195 121.532612  9.34     699    247
  93     3.5       381  982.6  13.4  94.5  12.6  54  11.1 288.2 25.012131 121.532506  9.36     711    247
  94     2.0       383  982.3  13.4  94.7  12.6  53  11.2 288.2 25.012071 121.532393  9.36     724    247
  95     2.0       385  982.0  13.4  94.6  12.5  53  11.2 288.1 25.012009 121.532281  9.33     737    247
  96     3.7       389  981.7  13.3  94.5  12.5  53  11.3 288.1 25.011942 121.532171  9.31     751    246
  97     1.8       390  981.3  13.3  94.5  12.5  53  11.3 288.1 25.011867 121.532067  9.30     764    246
  98     3.0       393  981.0  13.3  94.8  12.5  53  11.4 288.1 25.011790 121.531968  9.32     776    246
  99     2.5       396  980.7  13.3  95.1  12.5  52  11.4 288.0 25.011713 121.531877  9.32     788    246
 100     3.5       399  980.4  13.2  94.8  12.4  52  11.5 288.0 25.011641 121.531795  9.30     799    245
 101     2.8       402  980.1  13.3  94.3  12.4  52  11.5 288.0 25.011573 121.531718  9.25     809    245
 102     2.5       405  979.8  13.3  93.6  12.3  52  11.5 288.0 25.011508 121.531642  9.19     819    245
 103     2.6       407  979.4  13.3  92.6  12.1  52  11.6 288.0 25.011443 121.531563  9.11     829    245
 104     3.3       411  979.2  13.3  91.4  12.0  51  11.6 288.1 25.011375 121.531476  9.02     841    244
 105     2.7       413  978.9  13.4  90.7  11.9  51  11.6 288.1 25.011306 121.531382  8.97     852    244
 106     2.0       415  978.6  13.4  90.7  11.9  51  11.7 288.1 25.011237 121.531286  8.97     864    244
 107     1.8       417  978.4  13.3  91.1  11.9  51  11.7 288.1 25.011171 121.531194  9.00     876    244
 108     1.7       419  978.1  13.3  91.8  12.0  51  11.7 288.0 25.011111 121.531108  9.05     887    244
 109     1.1       420  977.9  13.3  92.6  12.1  51  11.8 288.0 25.011056 121.531030  9.10     897    244
 110     1.6       422  977.7  13.2  93.0  12.1  51  11.8 288.0 25.011003 121.530955  9.12     906    243
 111     2.5       424  977.5  13.2  92.8  12.1  51  11.9 288.0 25.010952 121.530879  9.10     915    243
 112     2.1       426  977.2  13.2  92.7  12.1  51  11.9 288.0 25.010899 121.530798  9.11     925    243
 113     1.6       428  977.0  13.2  93.5  12.2  51  12.0 288.0 25.010842 121.530712  9.17     936    243
 114     3.0       431  976.7  13.1  94.1  12.2  51  12.1 287.9 25.010778 121.530621  9.19     947    243
 115     2.5       433  976.4  13.1  93.6  12.1  51  12.1 287.9 25.010708 121.530527  9.13     959    243
 116     2.3       436  976.1  13.1  92.7  12.0  51  12.2 287.9 25.010637 121.530434  9.06     971    243
 117     1.8       437  975.8  13.1  92.7  12.0  51  12.3 287.9 25.010565 121.530341  9.06     983    243
 118     2.5       440  975.5  13.1  94.1  12.2  51  12.4 287.8 25.010494 121.530244  9.18     995    242
 119     3.4       443  975.2  13.0  95.8  12.3  51  12.5 287.8 25.010422 121.530145  9.28    1008    242
 120     3.4       447  974.9  12.9  96.3  12.4  51  12.6 287.7 25.010347 121.530043  9.29    1021    242
 121     3.1       450  974.5  12.9  95.9  12.2  51  12.7 287.6 25.010270 121.529943  9.23    1034    242
 122     3.1       453  974.2  12.9  95.0  12.1  51  12.8 287.6 25.010194 121.529845  9.14    1047    242
 123     2.7       455  973.8  12.9  93.4  11.9  51  12.9 287.6 25.010119 121.529750  9.02    1059    242
 124     3.6       459  973.4  13.0  92.2  11.7  51  13.0 287.7 25.010045 121.529655  8.93    1071    242
 125     3.4       462  973.1  13.0  92.0  11.7  52  13.1 287.7 25.009970 121.529559  8.91    1084    241
 126     2.6       465  972.7  12.9  92.4  11.7  52  13.2 287.6 25.009891 121.529460  8.94    1097    241
 127     3.0       468  972.3  12.9  92.9  11.8  52  13.4 287.6 25.009807 121.529361  8.97    1110    241
 128     3.1       471  972.0  12.9  92.9  11.8  52  13.5 287.6 25.009720 121.529260  8.96    1124    241
 129     4.4       475  971.6  12.9  92.3  11.7  52  13.6 287.6 25.009631 121.529158  8.91    1137    241
 130     3.7       479  971.2  12.9  91.3  11.5  53  13.7 287.6 25.009544 121.529054  8.82    1151    241
 131     3.0       482  970.8  12.9  90.5  11.4  53  13.8 287.6 25.009460 121.528946  8.75    1165    240
 132     3.6       486  970.4  12.9  89.8  11.3  53  13.9 287.6 25.009378 121.528833  8.70    1180    240
 133     3.1       489  970.0  13.0  88.7  11.1  53  14.0 287.6 25.009301 121.528714  8.61    1194    240
 134     2.5       491  969.7  13.0  88.1  11.1  54  14.1 287.7 25.009227 121.528592  8.60    1209    240
 135     3.5       495  969.3  13.0  88.9  11.3  54  14.2 287.7 25.009155 121.528469  8.69    1224    240
 136     3.4       498  968.9  13.0  90.1  11.4  54  14.3 287.7 25.009085 121.528348  8.78    1238    240
 137     3.6       502  968.5  12.9  90.9  11.5  55  14.4 287.6 25.009017 121.528229  8.82    1253    240
 138     3.6       505  968.2  12.9  90.7  11.4  55  14.5 287.5 25.008949 121.528113  8.77    1266    240
 139     2.8       508  967.8  12.8  89.6  11.2  55  14.5 287.5 25.008880 121.527998  8.66    1280    240
 140     3.3       511  967.5  12.9  88.5  11.0  55  14.6 287.5 25.008809 121.527882  8.56    1294    240
 141     2.4       514  967.1  12.9  88.8  11.1  56  14.7 287.5 25.008736 121.527763  8.60    1309    240
 142     3.2       517  966.7  12.8  90.9  11.4  56  14.8 287.5 25.008662 121.527641  8.78    1324    240
 143     2.5       520  966.4  12.7  92.5  11.6  56  14.9 287.5 25.008589 121.527514  8.90    1339    240
 144     3.2       523  966.0  12.7  93.0  11.6  56  15.0 287.4 25.008516 121.527384  8.92    1354    240
 145     3.2       526  965.6  12.7  92.9  11.6  56  15.1 287.4 25.008442 121.527254  8.90    1370    240
 146     3.8       530  965.2  12.6  93.0  11.5  56  15.2 287.3 25.008366 121.527125  8.90    1385    240
 147     3.1       533  964.8  12.6  93.0  11.5  57  15.2 287.3 25.008289 121.527000  8.88    1400    240
 148     5.0       538  964.3  12.6  92.9  11.5  57  15.3 287.3 25.008212 121.526876  8.86    1415    240
 149     4.6       542  963.8  12.5  93.1  11.4  57  15.4 287.2 25.008138 121.526755  8.85    1430    240
 150     3.9       546  963.3  12.5  93.6  11.5  57  15.5 287.1 25.008070 121.526633  8.86    1445    240
 151     4.4       551  962.8  12.4  94.2  11.5  57  15.6 287.1 25.008007 121.526507  8.88    1459    240
 152     4.8       556  962.2  12.3  94.5  11.5  57  15.7 287.0 25.007946 121.526376  8.89    1474    240
 153     5.8       561  961.6  12.3  94.7  11.4  57  15.8 287.0 25.007884 121.526238  8.87    1489    240
 154     5.9       567  961.0  12.2  94.5  11.4  57  15.9 286.9 25.007818 121.526096  8.84    1506    240
 155     5.2       572  960.4  12.2  94.2  11.3  57  15.9 286.9 25.007743 121.525950  8.81    1522    240
 156     5.0       577  959.8  12.2  94.1  11.3  57  16.0 286.8 25.007662 121.525806  8.77    1540    240
 157     5.4       583  959.2  12.1  94.1  11.2  57  16.1 286.8 25.007574 121.525664  8.76    1557    240
 158     5.6       588  958.6  12.1  94.4  11.2  57  16.2 286.8 25.007482 121.525525  8.77    1574    240
 159     4.5       593  958.0  12.0  94.8  11.2  57  16.3 286.7 25.007388 121.525387  8.78    1591    240
 160     5.4       598  957.5  12.0  95.1  11.2  57  16.4 286.7 25.007293 121.525251  8.78    1609    240
 161     5.4       604  956.9  11.9  95.3  11.2  57  16.4 286.6 25.007198 121.525118  8.78    1625    239
 162     4.9       609  956.4  11.9  95.6  11.2  57  16.5 286.6 25.007106 121.524988  8.79    1642    239
 163     3.9       613  955.8  11.9  96.0  11.2  57  16.6 286.5 25.007018 121.524862  8.80    1658    239
 164     5.1       618  955.3  11.8  96.1  11.2  57  16.7 286.5 25.006933 121.524739  8.80    1673    239
 165     5.2       623  954.8  11.8  96.3  11.2  57  16.7 286.5 25.006851 121.524616  8.79    1689    239
 166     3.8       627  954.3  11.7  96.5  11.2  57  16.8 286.4 25.006770 121.524487  8.80    1704    239
 167     4.0       631  953.8  11.7  97.1  11.3  57  16.9 286.4 25.006689 121.524352  8.83    1721    239
 168     3.4       634  953.4  11.6  98.3  11.4  57  16.9 286.3 25.006606 121.524211  8.91    1738    239
 169     3.9       638  952.9  11.6  99.5  11.5  57  17.0 286.3 25.006520 121.524068  8.98    1755    239
 170     4.2       642  952.5  11.5 100.0  11.5  57  17.0 286.2 25.006431 121.523926  8.99    1772    239
 171     3.8       646  952.1  11.5 100.0  11.5  58  17.1 286.2 25.006343 121.523784  8.97    1790    239
 172     3.1       649  951.7  11.4 100.0  11.4  58  17.1 286.1 25.006256 121.523640  8.95    1807    239
 173     3.3       652  951.4  11.4  99.8  11.4  58  17.2 286.1 25.006171 121.523492  8.92    1825    239
 174     3.3       656  951.0  11.4  99.7  11.3  58  17.2 286.1 25.006089 121.523340  8.90    1843    239
 175     2.5       658  950.7  11.4  99.7  11.3  58  17.3 286.1 25.006008 121.523183  8.89    1861    239
 176     2.2       660  950.4  11.3  99.6  11.3  58  17.3 286.0 25.005927 121.523025  8.88    1879    239
 177     2.6       663  950.1  11.3  99.3  11.2  58  17.3 286.0 25.005846 121.522865  8.85    1897    239
 178     2.4       665  949.8  11.3  98.9  11.1  59  17.3 286.0 25.005767 121.522707  8.81    1916    239
 179     2.8       668  949.4  11.3  98.7  11.1  59  17.4 286.0 25.005688 121.522552  8.78    1934    239
 180     3.0       671  949.1  11.3  98.4  11.1  59  17.4 286.0 25.005609 121.522400  8.76    1951    239
 181     2.8       674  948.8  11.3  98.0  11.0  59  17.4 286.0 25.005531 121.522251  8.72    1969    239
 182     2.6       677  948.5  11.3  97.7  10.9  59  17.4 285.9 25.005453 121.522106  8.69    1986    239
 183     3.5       680  948.1  11.3  97.4  10.9  59  17.4 285.9 25.005374 121.521962  8.66    2003    239
 184     4.0       684  947.8  11.3  97.8  10.9  59  17.4 285.9 25.005294 121.521818  8.69    2020    239
 185     1.9       686  947.4  11.2  98.7  11.0  60  17.4 285.9 25.005214 121.521675  8.76    2037    239
 186     2.6       689  947.1  11.2  99.5  11.1  60  17.4 285.9 25.005136 121.521531  8.81    2054    239
 187     3.3       692  946.8  11.2  99.8  11.1  60  17.4 285.8 25.005058 121.521385  8.83    2071    239
 188     2.8       695  946.4  11.1  99.5  11.1  60  17.4 285.8 25.004980 121.521236  8.80    2088    239
 189     3.1       698  946.0  11.1  98.3  10.9  60  17.4 285.8 25.004903 121.521085  8.69    2105    239
 190     4.5       702  945.7  11.2  96.2  10.6  60  17.3 285.8 25.004826 121.520934  8.53    2123    239
 191     2.9       705  945.3  11.3  93.4  10.3  60  17.3 285.9 25.004749 121.520784  8.36    2140    239
 192     3.7       709  944.9  11.5  91.6  10.2  60  17.3 286.1 25.004673 121.520633  8.27    2158    239
 193     2.7       712  944.6  11.6  91.0  10.1  60  17.3 286.1 25.004597 121.520481  8.27    2175    239
 194     4.0       716  944.2  11.6  91.0  10.2  60  17.3 286.2 25.004520 121.520327  8.29    2193    239
 195     3.1       719  943.8  11.6  91.1  10.2  60  17.2 286.2 25.004444 121.520174  8.30    2210    239
 196     2.2       721  943.5  11.6  91.3  10.2  60  17.2 286.2 25.004367 121.520021  8.32    2228    239
 197     3.0       724  943.1  11.6  91.6  10.2  60  17.2 286.2 25.004289 121.519870  8.34    2246    239
 198     3.7       728  942.7  11.5  91.9  10.3  60  17.2 286.1 25.004211 121.519718  8.36    2263    239
 199     3.3       731  942.3  11.5  92.1  10.3  60  17.2 286.1 25.004133 121.519568  8.37    2281    239
 200     4.1       735  941.9  11.5  92.2  10.3  60  17.1 286.1 25.004053 121.519420  8.36    2298    239
 201     3.8       739  941.5  11.5  92.1  10.2  60  17.1 286.1 25.003973 121.519274  8.34    2315    239
 202     4.0       743  941.1  11.4  91.8  10.1  60  17.1 286.0 25.003893 121.519130  8.30    2332    239
 203     3.8       747  940.7  11.4  91.3  10.1  60  17.1 286.0 25.003812 121.518988  8.26    2349    239
 204     2.9       749  940.3  11.4  91.0  10.0  60  17.0 286.0 25.003733 121.518846  8.22    2366    239
 205     3.3       753  939.9  11.4  90.9  10.0  60  17.0 286.0 25.003654 121.518704  8.21    2383    239
 206     4.1       757  939.5  11.4  91.0  10.0  60  17.0 285.9 25.003576 121.518562  8.21    2399    239
 207     4.0       761  939.1  11.3  91.3  10.0  60  17.0 285.9 25.003500 121.518419  8.22    2416    239
 208     3.3       764  938.6  11.3  91.6  10.0  60  16.9 285.9 25.003424 121.518275  8.23    2433    239
 209     4.3       768  938.2  11.2  91.7  10.0  60  16.9 285.8 25.003351 121.518129  8.22    2450    239
 210     3.7       772  937.8  11.2  91.8   9.9  60  16.9 285.8 25.003278 121.517982  8.21    2467    239
 211     3.8       776  937.3  11.2  91.7   9.9  60  16.9 285.7 25.003206 121.517835  8.19    2484    239
 212     3.8       780  936.9  11.2  91.6   9.8  60  16.8 285.7 25.003133 121.517688  8.17    2500    239
 213     4.4       784  936.5  11.1  91.7   9.8  60  16.8 285.7 25.003060 121.517542  8.17    2517    239
 214     3.3       787  936.0  11.1  92.0   9.9  60  16.8 285.7 25.002986 121.517396  8.19    2534    239
 215     4.4       792  935.6  11.1  92.4   9.9  60  16.8 285.6 25.002912 121.517251  8.20    2551    239
 216     3.9       796  935.1  11.0  92.6   9.9  60  16.7 285.6 25.002839 121.517105  8.20    2568    239
 217     4.4       800  934.7  11.0  92.7   9.8  60  16.7 285.5 25.002766 121.516960  8.19    2584    239
 218     3.5       803  934.2  10.9  92.6   9.8  60  16.7 285.5 25.002693 121.516815  8.17    2601    239
 219     4.2       808  933.8  10.9  92.6   9.8  60  16.7 285.5 25.002619 121.516672  8.16    2618    239
 220     4.0       812  933.3  10.9  92.6   9.7  60  16.7 285.5 25.002544 121.516531  8.15    2634    239
 221     4.3       816  932.9  10.9  92.5   9.7  60  16.6 285.4 25.002468 121.516389  8.14    2651    239
 222     3.7       820  932.4  10.9  92.5   9.7  60  16.6 285.4 25.002392 121.516248  8.13    2667    239
 223     4.4       824  932.0  10.8  92.6   9.7  60  16.6 285.4 25.002317 121.516105  8.14    2684    239
 224     3.8       828  931.5  10.8  92.8   9.7  60  16.6 285.4 25.002243 121.515963  8.14    2701    239
 225     5.3       833  931.0  10.8  92.9   9.7  60  16.6 285.3 25.002170 121.515820  8.14    2717    239
 226     3.2       836  930.6  10.7  93.1   9.7  60  16.6 285.3 25.002098 121.515678  8.13    2733    239
 227     3.6       840  930.1  10.7  93.2   9.7  60  16.6 285.3 25.002026 121.515536  8.13    2750    239
 228     5.2       845  929.6  10.7  93.2   9.6  60  16.5 285.2 25.001953 121.515396  8.13    2766    239
 229     4.5       850  929.1  10.7  93.3   9.6  60  16.5 285.2 25.001880 121.515256  8.13    2782    239
 230     3.9       854  928.6  10.6  93.5   9.6  60  16.5 285.2 25.001804 121.515116  8.12    2799    239
 231     4.4       858  928.2  10.6  93.6   9.6  60  16.5 285.2 25.001727 121.514975  8.12    2815    239
 232     4.2       862  927.6  10.6  93.7   9.6  60  16.5 285.1 25.001649 121.514834  8.12    2832    239
 233     4.7       867  927.1  10.5  93.9   9.6  60  16.5 285.1 25.001571 121.514692  8.12    2849    239
 234     4.7       872  926.6  10.5  94.1   9.6  60  16.4 285.0 25.001494 121.514550  8.12    2866    239
 235     5.4       877  926.1  10.4  94.3   9.6  60  16.4 285.0 25.001419 121.514407  8.12    2882    239
 236     5.0       882  925.6  10.4  94.3   9.5  60  16.4 285.0 25.001346 121.514262  8.10    2899    239
 237     4.1       886  925.1  10.4  94.2   9.5  60  16.4 284.9 25.001274 121.514115  8.08    2916    239
 238     4.5       891  924.6  10.3  94.2   9.4  60  16.4 284.9 25.001201 121.513968  8.06    2933    239
 239     3.7       894  924.1  10.3  94.2   9.4  59  16.3 284.9 25.001126 121.513822  8.05    2950    239
 240     4.6       899  923.6  10.3  94.3   9.4  59  16.3 284.8 25.001050 121.513678  8.06    2966    239
 241     5.1       904  923.1  10.3  94.5   9.4  59  16.3 284.8 25.000972 121.513537  8.07    2983    239
 242     5.4       910  922.6  10.3  94.8   9.5  59  16.2 284.8 25.000895 121.513397  8.10    2999    239
 243     3.8       913  922.1  10.2  95.1   9.5  59  16.2 284.8 25.000820 121.513260  8.11    3016    239
 244     4.6       918  921.6  10.2  95.4   9.5  59  16.2 284.8 25.000745 121.513125  8.12    3032    239
 245     4.1       922  921.1  10.2  95.8   9.5  59  16.1 284.7 25.000671 121.512991  8.13    3048    239
 246     4.4       926  920.6  10.1  96.1   9.5  59  16.1 284.7 25.000597 121.512857  8.15    3063    239
 247     4.1       931  920.1  10.1  96.4   9.5  59  16.0 284.6 25.000523 121.512722  8.16    3079    239
 248     4.5       935  919.6  10.0  96.7   9.5  59  16.0 284.6 25.000449 121.512588  8.16    3095    239
 249     4.7       940  919.2  10.0  96.7   9.5  59  15.9 284.6 25.000374 121.512454  8.14    3111    239
 250     4.0       944  918.7  10.0  96.5   9.4  58  15.9 284.5 25.000300 121.512320  8.11    3127    239
 251     4.3       948  918.2   9.9  96.3   9.4  58  15.8 284.5 25.000225 121.512186  8.09    3143    239
 252     4.5       953  917.7   9.9  96.3   9.4  58  15.8 284.5 25.000150 121.512052  8.08    3159    239
